osd,source_name,sample_name,organism,material_type,measurement_types,technology_types,device_platforms,data_files
OSD-48,RR1_BA_CASIS_LVR_POOL,RR1_BA_CASIS_LVR_POOL,Mus musculus,Liver,Protein Expression Profiling,Mass Spectrometry,Orbitrap Fusion(Thermo Scientific),
OSD-48,RR1_FLT_NASA+CASIS_LVR_POOL,RR1_FLT_NASA+CASIS_LVR_POOL,Mus musculus,Liver,Protein Expression Profiling,Mass Spectrometry,Orbitrap Fusion(Thermo Scientific),
OSD-48,RR1_FLT_NASA_LVR_POOL,RR1_FLT_NASA_LVR_POOL,Mus musculus,Liver,Protein Expression Profiling,Mass Spectrometry,Orbitrap Fusion(Thermo Scientific),
OSD-48,RR1_BA_CASIS_LVR_POOL,RR1_BSL_VIV_NASA_LVR_POOL,Mus musculus,Liver,Protein Expression Profiling,Mass Spectrometry,Orbitrap Fusion(Thermo Scientific),
OSD-100,RR1_GC_M33,Mmus_C57-6J_EYE_GC_Rep1_M33,Mus musculus,left eye,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,GLDS-100_wgbs_M33-EYE-wgbs.tar.gz | GLDS-100_rna-seq_M33-EYE.tar.gz
OSD-100,RR1_GC_M34,Mmus_C57-6J_EYE_GC_Rep2_M34,Mus musculus,left eye,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,GLDS-100_wgbs_M34-EYE-wgbs.tar.gz | GLDS-100_rna-seq_M34-EYE.tar.gz
OSD-100,RR1_GC_M35,Mmus_C57-6J_EYE_GC_Rep3_M35,Mus musculus,left eye,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,GLDS-100_wgbs_M35-EYE-wgbs.tar.gz | GLDS-100_rna-seq_M35-EYE.tar.gz
OSD-100,RR1_GC_M36,Mmus_C57-6J_EYE_GC_Rep4_M36,Mus musculus,left eye,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,GLDS-100_wgbs_M36-EYE-wgbs.tar.gz | GLDS-100_rna-seq_M36-EYE.tar.gz
OSD-100,RR1_GC_M37,Mmus_C57-6J_EYE_GC_Rep5_M37,Mus musculus,left eye,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,GLDS-100_wgbs_M37-EYE-wgbs.tar.gz | GLDS-100_rna-seq_M37-EYE.tar.gz
OSD-100,RR1_GC_M38,Mmus_C57-6J_EYE_GC_Rep6_M38,Mus musculus,left eye,Dna Methylation Profiling | RNA-Seq,Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,,GLDS-100_wgbs_M38-EYE-wgbs.tar.gz | GLDS-100_rna-seq_M38-EYE.tar.gz
